keyword,nama,Latitude,Longitude,kategori_usaha,rating,jumlah_ulasan,alamat,telepon,website,kecamatan,foto_url,skor_potensi,kategori_grup,label_kelayakan,popularitas,kepadatan
laundry kiloan Bontoala Makassar,3 Laundry Kiloan & Satuan,-5.1380077,119.4338357,,5,1,"Jl. Maccini Raya No.133E, Sinrijala, Kec. Panakkukang, Kota Makassar, Sulawesi Selatan 90232",,,Bontoala,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGPt10fweXDrg69BzJx5_8ZebBUb5rS6qHXGbn7p5v9MM6J9pZoAwCTEFjP1zARR31CB8HdBCfQOrcohSJxOQQsBFt75j9YATDwpRZi0TL-l0XW7m-61EF5K4bayoir1EYUg7_x=w800-h600-k-no,55,Laundry,Cukup Layak,Baru,6800
toko alat musik Mariso Makassar,41-Art Music Shop Makassar,-5.1877694,119.4330408,Toko Musik,4.5,361,"Komp. Zchar, Jl. Mallengkeri III No.6, Mangasa, Kec. Tamalate, Kota Makassar, Sulawesi Selatan 90224",0897-1591-181,,Mariso,https://lh3.googleusercontent.com/gps-cs-s/APNQkAG10FppYQNd4r3t8-U3n4Bsr8OZj1oFJryFRm86UhKwaMFgrZNnS_Rg_8Z8xtHMeMo_YuxxY7quS38dbSrlEQsi1Nsy8M5FOuvP7BZipWp__Ud6aJE62kEWUW9se1Mo_rJQnZ__2mzKylMb=w800-h600-k-no,78,Fashion & Ritel Umum,Sangat Layak,Populer,8800
cuci motor Bontoala Makassar,44 Autoclean,-5.140059,119.4253834,Tempat cuci motor,3.3,4,"VC5G+X5C, Jl. Kerung-Kerung, Barana, Kec. Makassar, Kota Makassar, Sulawesi Selatan 90144",0852-3281-1557,,Bontoala,https://lh3.googleusercontent.com/gps-cs-s/APNQkAE7YnThFnLcUyEhn9-ATwngyTMhGChnh2NB4qFRbGIdTxkfui29JLFwkf2ZkMzlv2FfSdt6c5QCzdIu4I4PwLYKAzIw42qW79A4bY-AZ0ZI-pKCN2-ApqdqJrcRdrcil2GwUUpPlA=w800-h600-k-no,45,Lain-lain / Belum Terkategori,Cukup Layak,Baru,6800
guest house Tamalanrea Makassar,471 Home Stay,-5.1305419,119.4982824,Pondok,4,120,"Jl. Bumi Tamalanrea Permai No.34, Tamalanrea, Kec. Tamalanrea, Kota Makassar, Sulawesi Selatan 90245",(0411) 8959444,,Tamalanrea,https://lh3.googleusercontent.com/gps-proxy/ALd4DhEeuXCP_taXtq6Xzp-mCGsUUpHoaUwObQR1jrlBmXKSmX2HiCfZjNFFwgkaTe2MF13W0vGYtNzLApJELgmBlsCxJbGJx8rpVByKAuSM0tG3y62BybiUkAqrRgESm2FCtZsJd0qAAbXxiVQnVgZg168_WPKCrfiSkcRr_d4qqn39mL30nteoBEJ0_ynNQv5wdJ5cXQ=w800-h600-k-no,56,Lain-lain / Belum Terkategori,Cukup Layak,Populer,3200
jasa kebersihan Mariso Makassar,515 Assembly Point,-5.1729548,119.4092361,Layanan Kebersihan,5,3,"Komp. Ruko Cendrawasih Mas No.E/15, RT.001/RW.03, Sambung Jawa, Kec. Mamajang, Kota Makassar, Sulawesi Selatan 90134",,,Mariso,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHbVzH3_VTv_1IWhkSzj0nItut8v2A7KwDKJG44u1wgzGPe5ukcts65LEhL_41hZ_rDlTB9yldftBP4QDvY5KrLrenfZO_RRA4sWRw95ZOPZlL6Mm1e5-bIvq2zgqm6uWnKenk=w800-h600-k-no,59,Lain-lain / Belum Terkategori,Cukup Layak,Baru,8800
cuci motor Manggala Makassar,5 Waktu Auto Detailing,-5.1492455,119.440421,Bengkel Perawatan Bodi Mobil,4.2,11,"Jl. Abdullah Daeng Sirua No.28a, Masale, Kec. Panakkukang, Kota Makassar, Sulawesi Selatan 90231",0852-5555-6176,,Manggala,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGoqUm5AdizdirHwAwQX4dUErstLBrmBzvT8VVxskNfpsOBXaoYcxxiLU43gyvz66ayJb9iMOw87wY95Qxoxw9fEDQnpdsdQKY2YqyWhHxndEdTZUVSd16YAShuQJVFoReGPJD5hQ=w800-h600-k-no,46,Lain-lain / Belum Terkategori,Cukup Layak,Baru,2200
cuci motor Biringkanaya Makassar,88 AUTOWASH,-5.0862303,119.5275328,Tempat cuci motor,4.3,12,"Jl. Taman Sudiang Indah No.7, Sudiang, Kec. Biringkanaya, Kota Makassar, Sulawesi Selatan 90242",,,Biringkanaya,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGZYKt4wC0ZBFhOSoUmaeSbty72L6ChPrqNIbb0Ck63dsGZjhDx9dvWXugBzdfVOt9gRwI1JG0ehvk7-U-IWq4M2T_l5ZLl_LAx5phhwuIa1xDms1JhDwH6z_UKgleNiFTzcXGDcw=w800-h600-k-no,48,Lain-lain / Belum Terkategori,Cukup Layak,Baru,2800
cuci mobil Bontoala Makassar,98 Wax&wash,-5.13027629999999,119.4306368,Pencucian mobil mandiri,4.8,9,"VC9J+V7J, Jalan Langgau, La'latang, Bontoala, Timungan Lompoa, Kec. Bontoala, Kota Makassar, Sulawesi Selatan 90152",0822-1071-1313,,Bontoala,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHx20_vH4pF_aZK6iltqO09xj9xPa45zw8imlDxjqqNB3lJRo7o4YFHrNSlHFqSs4HQsH72crjlq4wYqmiJhasoi_I3_aTZUwX1CxViet8kg0OCD9SBJwh-90VU_cgGani_6EME0A=w800-h600-k-no,58,Lain-lain / Belum Terkategori,Cukup Layak,Baru,6800
toko kosmetik Tamalate Makassar,A3 Beauty,-5.1719715,119.4258157,Toko Kosmetik,4.8,12,"Jl. Andi Tonro No.82 C, Pa'baeng-Baeng, Kec. Tamalate, Kota Makassar, Sulawesi Selatan 90223",0813-5511-5955,,Tamalate,https://lh3.googleusercontent.com/gps-cs-s/APNQkAF2esh5_SStD1mlZ2XHkTfK0TO9_EteVQMDnBMepT68JXHCarYGMMsnooq9URypEH5co2ttB1xZB8tC3eS6FspzrQwBdBTwheKpsJc2A3fB-0zGuKfVS_dKV4mGSDR7xLIkE3sNaQ=w800-h600-k-no,55,Lain-lain / Belum Terkategori,Cukup Layak,Baru,4800
toko aksesoris Ujung Tanah Makassar,AA AKSESORIS MANIK SHOPE,-5.113939100000001,119.4219519,Toko Perhiasan,5,2,"VCPC+CQG, Jl. Barukang II, Pattingaloang, Kec. Ujung Tanah, Kota Makassar, Sulawesi Selatan 90162",0838-7989-9921,,Ujung Tanah,https://lh3.googleusercontent.com/gps-cs-s/APNQkAG7gGU_KTAYTHoI2TZ9AojtJu8oYoYprRsRbM211drwi1eEqgorNfL2i5LCAF_tnbwCd2RBT73yrbqDzoJjdBc8ljXor47u8p9cqWcaCwkgygT5GVkfqsxNmZ7_kKGdpbyWHB8=w800-h600-k-no,57,Fashion & Ritel Umum,Cukup Layak,Baru,5800
dessert Mariso Makassar,AA Dessert Box - Toddopuli,-5.1628584,119.4524772,Toko Kue,4.9,24,"Jl. Toddopuli Raya No.79b, Paropo, Kec. Panakkukang, Kota Makassar, Sulawesi Selatan 90222",0853-4194-6152,instagram.com,Mariso,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEOqFSKLd8bTIFIQf7S2ZEtv1Zx0YT4cefhgBdnoen1mG9nP9LoDLJ9lhwY0bM0HBfnWV91BOy09GqdkXGed0mRw8vP-9ApPUriDGYR9aq-ZNq42GxzcpokM5ZGwEcPOqCAhxVm=w800-h600-k-no,66,Lain-lain / Belum Terkategori,Layak,Cukup Dikenal,8800
jus buah Biringkanaya Makassar,AAJUS 579,-5.1087381,119.519315,Kedai Jus,5,1,"VGR9+GP4, Jl. Pajjaiang, Paccerakkang, Kec. Biringkanaya, Kota Makassar, Sulawesi Selatan 90241",0853-1555-8719,,Biringkanaya,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGMl58XmLlggddR2FgEl7P_xcj9IesT1vKw3vTcOsB3rAjYl2dTysql0HdiWKPAYK9ZUYiUJZCSOu3kXEDcruQE0VKLeVHxlWIhW_Jk5UDyecfRVSXr9hbPcOxFQ1CL4h4GDAADDg=w800-h600-k-no,46,Lain-lain / Belum Terkategori,Cukup Layak,Baru,2800
guest house Bontoala Makassar,AAN Guest House,-5.1500425,119.4496944,Rumah wisata,3.9,17,"Jl. Racing Centre No.A16, RT.001/RW.01, Karampuang, Kec. Panakkukang, Kota Makassar, Sulawesi Selatan 90231",,,Bontoala,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHfLDVfQDvn0jk2wiujbIrE4xkP8X64Bvs-rj6lR0Hobeqn6TabpMgm4bjYbgrXED9FkxmBYzKs7aMBniDGOQ_7fRbVfMHEYh0r3t68gCmF_41ZMcIPG0oJB2biRIScPYMl1AE=w800-h600-k-no,54,Lain-lain / Belum Terkategori,Cukup Layak,Baru,6800
cuci mobil Mamajang Makassar,Abadi Car Salon,-5.15403119999999,119.434141,Tempat Pencucian Mobil,4.5,178,"Jl. Pelita Raya No.21, Bua Kana, Kec. Rappocini, Kota Makassar, Sulawesi Selatan 90222",(0411) 431318,,Mamajang,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFlHfWE1h1NiYAcknENnJXw40ZQ42zQE-xzi-159JuwnwH0kZu4gau5TLgQYjn4OKpKt3GpjDWUZCkGKf02RKRL9dyNmVzWVQ1HLpjeoBKj_7ec3i4AfBsYjWSeZcaqyLXEK_aUmg=w800-h600-k-no,74,Kecantikan & Barbershop,Layak,Populer,7800
kursus komputer Tamalanrea Makassar,Abadi Komputer,-5.1384864,119.4875758,Kursus Komputer,3.3,7,"Jl. Abdullah Daeng Sirua No.35, Tamamaung, Kec. Panakkukang, Kota Makassar, Sulawesi Selatan 90231",0852-9999-5771,,Tamalanrea,https://lh3.googleusercontent.com/gps-cs-s/APNQkAF2YqEo21w5bZJB_rHkX3Q7hNKnKtiO0Jw6UmOJEToZSWKGLZTIk01Ug4UG7_BcdOYI-MF7MRF7qLED0uLSrMNCDUZiTmq6sPsOAnBt5s4SDfn7SRtbVpAl77qfMFrqx7VRdU4=w800-h600-k-no,40,Lain-lain / Belum Terkategori,Kurang Layak,Baru,3200
bengkel motor Tamalate Makassar,Abadi Motor Mappaoddang,-5.1754795,119.4148843,Bengkel Sepeda Motor,4.4,36,"Jl. Andi Mappaodang No.61B, Jongaya, Kec. Tamalate, Kota Makassar, Sulawesi Selatan 90223",(0411) 832419,,Tamalate,https://lh3.googleusercontent.com/gps-cs-s/APNQkAF-V7-3GSZEC7Wh3WyAyC5ZoHi1adnup24BO-njrzMSs6NM1eE--2ZHdDsnZmiv2_fBQSWWFMHressWpm4llIKid00t0macB6a7pbTWpIDasBr-1udSRt01-LUY15Z_DP3OTT1SRrqyaZ5l=w800-h600-k-no,59,Otomotif & Bengkel,Cukup Layak,Cukup Dikenal,4800
cuci mobil Tamalanrea Makassar,AB Carwash,-5.1414088,119.4863223,Tempat Pencucian Mobil,4.2,100,"Unnamed Road, Tamalanrea, Makassar City, South Sulawesi 90245",0812-4107-8523,,Tamalanrea,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFi3Gf77MCV8wEZ4Rn4EmKhyXs_Igl53Q_jK0sPa_xOISOA6RrmoyDAXsQ2LmH-EYXM4lvjfLMoNQ2sBgAtsGmtOwHodfoC6HUMzhQcceQ8Asu5nr9Uxt3d1iT8QzkNCa8b-ySaeQ=w800-h600-k-no,57,Lain-lain / Belum Terkategori,Cukup Layak,Populer,3200
ekspedisi pengiriman Biringkanaya Makassar,ABC Express MAKASSAR - Jasa Ekspedisi Kirim Barang Besar2 dan Jauh2 sampai Pelosok Indonesia,-5.1136855,119.5051686,Layanan Logistik,4.8,23,"Pasar Grosir Daya Modern Blok RB NO 25-26, Daya, Kec. Biringkanaya, Kota Makassar, Sulawesi Selatan 90241",0811-9389-222,abcexpress.id,Biringkanaya,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGRIXn4hLimfyCQ2kcQ-NIjzlddZGIOfVcdfo52G4SyjjB-hBkUzOELf1aZzEmMjHwtTjrT2yMzm23rWu0W4KUJ2LBjnBPAoT4fjNQY5yojwQ9XwSp6rRSwkIVdY8wCBPz9B8w=w800-h600-k-no,54,Lain-lain / Belum Terkategori,Cukup Layak,Cukup Dikenal,2800
toko aksesoris Panakkukang Makassar,Abdesir Lorong 3,-5.1490699,119.4430877,Toko Aksesori Pakaian,4.4,67,"VC2V+96G, Lorong 3, Tamamaung, Kec. Panakkukang, Kota Makassar, Sulawesi Selatan 90231",0852-4111-1769,,Panakkukang,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGEfgwaheWgmFSIhrUsO7cJBsa8BmBonMihL8wIrP5N0ZEb19MbUt-AaXBaLaxZXIlwz9P1oYpHGXM0Te-qhjRDhJYXjJjL8T_MjOGej8t752YZQFWihRZXgCNirqooLPMATxU=w800-h600-k-no,59,Lain-lain / Belum Terkategori,Cukup Layak,Cukup Dikenal,4800
jasa servis hp Wajo Makassar,Abdi Gadget Repair,-5.1535484,119.4269339,Toko Perbaikan Ponsel,4.7,73,"Jl. Rappocini Raya No.20, Rappocini, Kec. Rappocini, Kota Makassar, Sulawesi Selatan 90222",0821-9244-8228,,Wajo,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGhDYoHfZAZ-9PiE4EUIQF8KMW5n20x5XM5PxJhBNnv5Y-LyvTDp3Mab9Gcm6ez7BjSuiq0juV6tJ2zJtVvOrxfHKmst6arBbpWhvnTpQbyaVQvvstKYRjuWlNLshjlhWcVbvwIJ06KkLin=w800-h600-k-no,69,Gadget & Pulsa,Layak,Cukup Dikenal,7200
jasa servis hp Tamalate Makassar,Abdi Phone Repair SERVICE HP MALENGKERI,-5.187265,119.4317535,Toko Perbaikan Ponsel,4.9,307,"Depan Alfamart Muhajirin, Jl. Mallengkeri Raya No.69, Mangasa, Kec. Tamalate, Kota Makassar, Sulawesi Selatan 90221",0823-4566-3337,,Tamalate,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGaEIJAuCJQTXjXs4Q7szR7uGn5qxmVDepskvjYUReuhmYDB9UaYMsLSxjyT2naIWF_Gd0XLXWXpfW5-6hiuUYk8O36bfCjzM9k8MZC6VxIEnxoUfJeKoDn9PTPhaw_FK-Cur93rw=w800-h600-k-no,72,Gadget & Pulsa,Layak,Populer,4800
ekspedisi pengiriman Kepulauan Sangkarrang Makassar,ABP PUJIWATI CARGO - EKSPEDISI LOGISTIK,-5.0740927,119.5226205,Perusahaan Ekspedisi,4.6,153,"Kelurahan Jl. Perintis Kemerdekaan No.14 Blok 237, Sudiang, Kec. Biringkanaya, Kota Makassar, Sulawesi Selatan 90245",0821-8888-2994,pujiwaticargo.co.id,Kepulauan Sangkarrang,https://lh3.googleusercontent.com/gps-cs-s/APNQkAED3oL9lEx1SrkOtOM72MJdsXP-oe9c2CxWUssVgmyW8QiQ1Sa06Pj3tHS0DdN9nj8x54uV4Vw84Sy9Uq8iCVHlr7WpbfQfsCTLz-hLpYMzL9FfFzTKizzwA3VwPJAy6HJL-6jTLw=w800-h600-k-no,56,Lain-lain / Belum Terkategori,Cukup Layak,Populer,450
bengkel mobil Mariso Makassar,ab.understeel Bengkel spesialis kaki kaki mobil,-5.1480748,119.4239088,Bengkel Mobil,4.9,27,"Jl. Sungai Walanae No.27, Maricaya Baru, Kec. Makassar, Kota Makassar, Sulawesi Selatan 90143",0821-9003-9070,,Mariso,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFORCD5YBLzhNehZsMl8y1GIYQoHmsDYjbI9mo7uVwAjx42sSi7KYGI2EVPHY4AZW25cmn7ONzPU2HL6b9h8TBXhgKRaFnqejPaUWn8C2SbTowyhV1R-Kyc-g2CA-vicGtCLaNs=w800-h600-k-no,68,Otomotif & Bengkel,Layak,Cukup Dikenal,8800
jasa servis hp Biringkanaya Makassar,Abyan cell servis hp,-5.1097799,119.5092434,Layanan reparasi,4.9,28,"Jl. Muda-Mudi No.203, Daya, Kec. Biringkanaya, Kota Makassar, Sulawesi Selatan 90241",,,Biringkanaya,https://lh3.googleusercontent.com/gps-cs-s/APNQkAElWzQMUatMtUdicnkd8077xuEe_spdgG-wvvq9W4dMf19Rt4j2YMGkq-8Hdf0gd5lg4skhYzKZwAX-wXcf_vE51LOGTXyFXLBKbmn8_iNatTgOAQvPcRkrRkHDYpdw-vbdngHX=w800-h600-k-no,59,Gadget & Pulsa,Cukup Layak,Cukup Dikenal,2800
jasa cuci ac Mamajang Makassar,Acirha sahrir cell,-5.1712132,119.408334,Bengkel Elektronik,5,1,"Sambung Jawa, Kec. Mamajang, Kota Makassar, Sulawesi Selatan 90126",,,Mamajang,https://lh3.googleusercontent.com/gps-cs-s/APNQkAH_OoIYhIrUXvHdiQSBFz6gXqWsbULstIeaoW_mIZucGbw3Ef1DXWPSIjcgohsEqCnnLXxk2kQ0XfJLhqqnj10YiV1qStkNNlGrTRvlcSVVgXGF1euQFFI3myU-DszsQzKseXao=w800-h600-k-no,58,Gadget & Pulsa,Cukup Layak,Baru,7800
toko alat olahraga Tallo Makassar,Aco Sport,-5.135947,119.4964173,Toko Peralatan Olahraga,4.4,41,"Jl. Perintis Kemerdekaan No.Km 10, RW.No 8, Tamalanrea Jaya, Kec. Tamalanrea, Kota Makassar, Sulawesi Selatan 90245",0813-4255-3773,,Tallo,https://lh3.googleusercontent.com/gps-cs-s/APNQkAES-DRUOZ1qLbBhjWE12M5eYnS9Z56IesLRUbTF2OtFXTnUTAOK5fMXopJMb7BdCsyUMPj-fZQ7uoCHYk6rGouBE6Fe2x9Qk5sbF1m6uLzkOaLlagiJBC642JtXgBWe01iB_7zc=w800-h600-k-no,58,Lain-lain / Belum Terkategori,Cukup Layak,Cukup Dikenal,5200
toko sparepart motor Tamalate Makassar,ACR Motor,-5.1515569,119.448776,Toko Suku Cadang Motor,4,70,"Jl. Abdullah Daeng Sirua No.170a, Pandang, Kec. Panakkukang, Kota Makassar, Sulawesi Selatan 90231",0822-1670-5788,,Tamalate,https://lh3.googleusercontent.com/gps-proxy/ALd4DhFEMcp0WKkVkauYVqwHMBLHiTvVtCsC-t8LwALrNeU62Rde9F33-ChyNN-5GdzOOiM_Qa_Rd4P2ZKTAcwQ1DZiR5zIIAAu0GI-hxh_g-6nf7QKTnSZnVBKfUgE9ojXANxfArgQ6oXV_rGlsJht2iqnG8nqyYpKjcryIy4yExF2jBWPJxqppxC8NDnpd6uQKe_t5Rxo=w800-h600-k-no,59,Otomotif & Bengkel,Cukup Layak,Cukup Dikenal,4800
cafe Tamalate Makassar,ADAPADA KEDAI,-5.170132799999999,119.4237701,Kedai Kopi,4.6,511,"Jl. Sultan Alauddin No.98, Pa'baeng-Baeng, Kec. Tamalate, Kota Makassar, Sulawesi Selatan 90223",0812-2966-9027,instagram.com,Tamalate,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHwPB9jprPzFd5afRTV_w7yINC_cOP2pOuwoOsZ8vxz_9SkO5BByycEOfyQPjAfgdXNl_J8g5GFqHQRe2Qx3cymfsqqvuHJoNVveHDsUqRH4nifwfRdcxGFDoP35_PbD9j-TB1_MA=w800-h600-k-no,69,Lain-lain / Belum Terkategori,Layak,Sangat Populer,4800
guest house Manggala Makassar,Adeeva Home Makassar,-5.1749477,119.4779582,Guest house,5,3,"Jl. Raya Pendidikan Blok G2, no: 10, Tidung, Kec. Rappocini, Kota Makassar, Sulawesi Selatan 90222",0811-990-066,,Manggala,https://lh3.googleusercontent.com/gps-cs-s/APNQkAH-etXmKRLrUpSrZJcFUKcpyStU4XzBBSpQbzQJyNsNnAlHhkTregGgqiUWYbZ2e9jD5J9Bgc_3Bzcu6Jc5Hol1c-NOEZCCb2osH7xJNVg1MrhwMuPpwwYy4lJ3pVFmEp_ys3U=w800-h600-k-no,48,Lain-lain / Belum Terkategori,Cukup Layak,Baru,2200
guest house Manggala Makassar,Adeeva Home Makassar,-5.1749477,119.4779582,Guest house,5,3,"Jl. Tamangapa Raya 3 No.A16, Bangkala, Kec. Manggala, Kota Makassar, Sulawesi Selatan 90235",0852-5523-3361,,Manggala,https://lh3.googleusercontent.com/gps-cs-s/APNQkAG8YU1Wu_Aov0mJNGOt5xMocmEn-FGm62v16rS629SZjkb_puxBCQ4ELa3HUbaPoVpxrsdga3a6MPzd7yjKeXky7dg2g9qQuJ9CXNqbvBZlg54WJ_3z6K96wVsPIaDEIQTNdcYX=w800-h600-k-no,48,Lain-lain / Belum Terkategori,Cukup Layak,Baru,2200
